tidak_baku,kata_baku
apasihhh,apasih
sirikk,sirik
dbnding,dibanding
nrka,neraka
s3ndiri,sendiri
bhgiain,membahagiakan
kdua,kedua
prcya,percaya
bhagaia,bahagia
cuco,cocok
genittt,genit
kx,kak
mlikk,milik
mentah,mentah-mentah
canci,cantik
aneed,banget
gimanaa,bagaimana
lainnn,lain
pentingg,penting
kenalin,memperkenalkan
bagaimanaaa,bagaimana
krudung,kerudung
enakkkkk,enak
poool,pol
jirrrr,anjir
oprasiya,operasinya
uwee,gue
pilihannny,pilihannya
itumahh,itumah
muuuu,mu
uuhhh,uh
berbakiti,berbakti
alhamd,alhamdulillah
slmttt,selamat
ucapin,mengucapkan
tetp,tetap
ditengah2,ditengah-tengah
semuanyaa,semuanya
semuannyaaa,semuanya
aminn2,amin-amin
abs,habis
kebnyak'an,kebanyakan
melahirin,melahirkan
aduuuh,aduh
cakeep,cakep
lhooo,loh
kamuuuu,kamu
bagi2,bagi-bagi
gimn,bagaimana
smogaaa,semoga
biza,bisa
aamien,amien
lngsing,langsing
wowoooww,wow
smulla,semula
pdhall,padahal
blln,bulan
senang2,senang-senang
jh,saja
kereeennnn,keren
gilakkk,gila
gtu2,begitu-gitu
cpet,cepat
gataunya,tidak taunya
gtau,tidak tau
fans2,fan-fan
gaharus,tidak harus
ketemuin,ketemu
diketemuin,ketemu
bangst,bangsat
feb,februari
pavorit,favorit
nya,ya
lu,kamu
militia,militer
bu,ibu
dok,dokter
aaaa,a
aaaaa,a
aaaaaaa,a
aaaaaaaaaaaaaaaaaaaa,a
acaranyaaaaaaa,acaranya
adalahhhhhhh,adalah
ahahahahahhah,haha
ahmaksudnya,maksudnya
ajsajsjsjsshsj,asu  
akarakarya,akar-akarnya
alhamdulilah,alhamdulillah
alhamdullilah,alhamdulillah
allhamdulillah,alhamdulillah
anehhhhhhhhhhhhhhhhhhhh,aneh
anjiiinggggg,anjing  
anjngggggggg,anjing  
aowkaowkaowk,awokawok  
aowkwkwkwkwk,awokawok  
arghhhhhhhhhhhhhhhhhhhhhhhhhhhh,argh 
asistensikan,asistenkan
assalamualaikum,assalamu'alaikum
astagfirullah,astaghfirullah
astaghfirullah,astaghfirullah
atasnamakan,atas namakan
aturanaturan,aturan-aturan
awkowkowkowkow,awokawok  
awoakwokaowk,awokawok  
awokawokawok,awokawok  
awoskoaakaoakak,awokawok  
bangeettttt,banget
bangeetttttt,banget
bangetsedih,banget sedih
bangettttaku,banget aku
bangetwkjriwjdjw,banget
banyakbanyak,banyak-banyak
bapakkkkkkkkk,bapak
bapakkkkkkkkkk,bapak
barangbarang,barang-barang
barengbareng,bareng-bareng
barudaaaakkkk,baru dong
bejirrkaburduluaja,bejir kabur dulu aja  
belajarnyaa,belajarnya
berantemkalo,berantem kalau
berantemnya,berantemnya
berbulanbulan,berbulan-bulan
berinteligensi,berintelijen
berkalikali,berkali-kali
berkarirlbh,berkarir lah
berprevilise,berprivilege
berprivillege,berprivilege
bersabdaaaa,bersabda
bersamasama,bersama-sama
bersihbersih,bersih-bersih
bertanggungjawab,bertanggung jawab
bertanyatanya,bertanya-tanya
besarbesaran,besar-besaran
bismillaahh,bismillah
bismillahirrahmanirrahim,bismillahirrahmanirrahim
bismillahirrohmanirrohim,bismillahirrahmanirrahim
bisnisajadulu,bisnis aja dulu
bisnisbisnis,bisnis-bisnis
bobrooookkkkkkk,bobrok  
bojongtuyul,bojong tuyul   tempat
bongkarbongkar,bongkar-bongkar
bruakakakakak,bruakak  
btsthanniversary,bts thanniversary  
bubblycuddly,bubbly cuddly
bulbulhabis,bulbul habis
capeknganggur,capek nganggur
cecunguknya,cecunguknya  
cengengesan,cengengesan  # tertawa sinis
cewekindonesia,cewek indonesia
ciumbuleuit,cium buleuit  # asumsi lokasi
ciyeeefinalis,ciye finalis  
confesssssss,confess
congratssssszzz,congrats
congrattssss,congrats
dahlahdisiniaja,dahlah disini aja
danggeunmin,danggeun min  
dediindonesiagelap,dedi indonesia gelap
dengankabur,dengan kabur
diarepinhonestly,diare pin honestly  
dibawahhooii,di bawah hoii
dibeginikan,dibeginikan  ?
dibelenggunya,dibelenggunya
dibicarakan,dibicarakan
dibilangnya,dibilangnya
dideportasilagi,dideportasi lagi
dihargaikaburajadulu,dihargai kabur aja dulu
dihargainnya,dihargainya
dijualdiwariskan,dijual diwariskan
dijualjualin,dijual-jualin
dikitaowkoawk,dikit awokawok  
dinyinyirin,dinyinyirin  
dioptimalin,dioptimalkan
dipengaruhi,dipengaruhi
diperhitungkan,diperhitungkan
diperjuangin,diperjuangkan
dipermainkan,dipermainkan
dipermasalahin,dipermasalahkan
diprioritasin,diprioritaskan
diprovokasi,diprovokasi
direinkarnasi,direinkarnasi
disalahartikan,disalahartikan
disalahgunakan,disalahgunakan
disamaratakan,disamaratakan
disappeared,menghilang
disekitarnya,disekitarnya
disekolahin,disekolahkan
disekolahkan,disekolahkan
diselametin,diselamatkan
disepelekan,disepelekan
disepelekanteringat,disepelekan teringat
ditangkepin,ditangkapin  
ditempeleng,ditempeleng  
ditinggalim,ditinggalin  
ditinggalin,ditinggalkan
doeljakarta,doel jakarta  
doodstreamterbaru,doodstream terbaru
duludijawab,dulu dijawab
dulupercuma,dulu percuma
duluternyata,dulu ternyata
eee,e
eepsaefullohfatah,eep saefulloh fatah  
ekwkwkwkwkkw,wkwkwk  
embarrassment,malu
enakinajadulu,enak aja dulu
enggaknya,enggaknya
essentially,pada dasarnya
expectations,ekspektasi
experienced,berpengalaman
experimental,eksperimental
exploreindonesia,explore indonesia
explorepage,explore page
fangirlingan,fangirling an  
februarikabur,februari kabur
feel,rasa
financially,secara finansial
flawlessoonchan,flawless oonchan  
forewarning,peringatan dini
forgooddiindo,for good di indo
freewstpapua,free west papua
fresh,segar
frustration,frustasi
fufufafaaibnasional,fufufafa aib nasional  
fundamental,fundamental
fyppppppppppppppppppppppp,fyp
fypviraltwitter,fyp viral twitter
gabisakabur,gabisa kabur
gadistercanti,gadis tercanti  
gagalbrandinggagalnikah,gagal branding gagal nikah
gagalmakambungkarno,gagal makam bung karno
gakmikirmikir,gak mikir-mikir
gaksabarbesokgajian,gak sabar besok gajian
gamblingnya,gamblingnya
gaslighting,gas lighting  
gassssssspooooooooooool,gas pol  semangat
gataubalikatauga,gatau balik atau ga
gedheitukita,gedhe itu kita  
gelapbanget,gelap banget
generalisir,generalisir  
gidahsonoyangjauh,pergi sana yang jauh  
gijinkokuengineer,gijinkoku engineer  
giveawayindonesia,give away indonesia
giveawaynya,give away nya
goblokgoblok,goblok goblok  
good,bagus
govlockskill,gov lock skill  
gwehotwdiaspora,gue hot w diaspora  
gwencanaaaayooo,gue rencana ayo  
habatasaudah,habis sudah
habishabisan,habis-habisan
hahahahaaha,haha
hahahahahaa,haha
hahhahahaha,haha
hahshsnkakakdu,haha  
hallucination,halusinasi
hancurtagar,hancur tagar
happy,senang
harunmasikukaburajadulu,harun masiku kabur aja dulu
hate,benci
hatinyalalu,hatinya lalu
haveichanged,have i changed
hellloowrrr,hello
hello,halo
hellocation,hello location  
hellomotogotyle,hello moto go style  
hhhh,h
hhhhhhhh,h
hi,hai
hijrahajadulu,hijrah aja dulu
hilangsajadulu,hilang aja dulu
hinamuslimkemudian,hina muslim kemudian
hiraganakatakana,hiragana katakana  
hitunghitung,hitung-hitung
hoaxpengalihan,hoax pengalihan
hohohooooooo,hohoho  
holdduluaja,hold dulu aja
holyairball,holy air ball  
humanrights,hak asasi manusia
hyperinflation,hiperinflasi
icecreamvape,ice cream vape
idielogisnya,ideologisnya
idolswisatawan,idols wisatawan  
ijazahjokowi,ijazah jokowi
ijazahpalsu,ijazah palsu
ijazahpalsujokowi,ijazah palsu jokowi
ikhlassssss,ikhlas
ikuuuuuuttt,ikut
illustrator,ilustrator
imperialisme,imperialisme
implementasi,implementasi
indiaampchina,india amp china
indikatornya,indikatornya
indognesial,indonesial  
indonesiaaah,indonesia
indonesiaaneh,indonesia aneh
indonesiaaustralia,indonesia australia
indonesiabaru,indonesia baru
indonesiabubar,indonesia bubar
indonesiabubardikuasaipremankhilafah,indonesia bubar dikuasai preman khilafah
indonesiacemas,indonesia cemas
indonesiadarurat,indonesia darurat
indonesiaemas,indonesia emas
indonesiagelao,indonesia gelap  
indonesiagelap,indonesia gelap
indonesiagelapgelap,indonesia gelap-gelap
indonesiagelapgulita,indonesia gelap gulita
indonesiagelapjilid,indonesia gelap jilid
indonesiagelapndasmu,indonesia gelap ndasmu  
indonesiakuat,indonesia kuat
indonesialebihkuat,indonesia lebih kuat
indonesiamaju,indonesia maju
indonesiamakingelap,indonesia makin gelap
indonesiamasters,indonesia masters
indonesiamendunia,indonesia mendunia
indonesiamereka,indonesia mereka
indonesianidol,indonesian idol
indonesianidolxiii,indonesian idol xiii
indonesians,indonesia
indonesianya,indonesianya
indonesiapenjajah,indonesia penjajah
indonesiasehat,indonesia sehat
indonesiaviral,indonesia viral
indonesiawaspada,indonesia waspada
indoviralterbaru,indo viral terbaru
indsiagelap,indonesia gelap  
industrinya,industrinya
industripabrik,industri pabrik
inferiority,inferioritas
infobeasiswa,info beasiswa
infogiveaway,info giveaway
infojobjepang,info job jepang
information,informasi
infosumbawa,info sumbawa
infrastruktur,infrastruktur
inggriskaburajadulu,inggris kabur aja dulu
inirasanyasuper,ini rasanya super
inisiatornya,inisiatornya
innalillahi,innalillahi
inspirasinya,inspirasinya
instalkelshinta,instal kelshinta  
instansinya,instansinya
intelegensi,intelegensi
intelektual,intelektual
intelektualitas,intelektualitas
interactive,interaktif
internasional,internasional
international,internasional
interviewnya,interviewnya
intoleransi,intoleransi
intrnational,international  
introduction,pengenalan
investorkabur,investor kabur
investornya,investornya
istandwithsharmishta,i stand with sharmishta
jabodetabek,jabodetabek
jackpotcrashcourse,jackpot crash course
jackpotramadhan,jackpot ramadhan
jacktherapist,jack therapist  
jalaninajadulu,jalanin aja dulu
jalanjalannya,jalan-jalannya
jalanjembatan,jalan jembatan
janganjadidosen,jangan jadi dosen
janganjangan,jangan-jangan
janganlupabersyukur,jangan lupa bersyukur
janganpulangaja,jangan pulang aja
janganpulangajadulu,jangan pulang aja dulu
janganpulangdulu,jangan pulang dulu
januariperingatan,januari peringatan
jepanggelap,jepang gelap
jepangjerman,jepang jerman
jepangkorea,jepang korea
jepangkorsel,jepang korsel
jerumuskandiriyuk,jerumuskan diri yuk
jobopportunity,job opportunity
jogjamemanggil,jogja memanggil
jokowigakusahpulang,jokowi gak usah pulang
jokowipenipuijazah,jokowi penipu ijazah
jokowitakutdiadili,jokowi takut diadili
jokowitamat,jokowi tamat
jumatberkah,jumat berkah
junjungannya,junjungannya
justgoddamnit,just goddamnit  
kabarajadulu,kabar aja dulu
kabinetgendut,kabinet gendut  # ejekan
kabinetkoruptor,kabinet koruptor
kaburajaburuan,kabur aja buruan
kaburajadehlu,kabur aja deh lu  
kaburajadlu,kabur aja dulu  
kaburajadulu,kabur aja dulu
kaburajadulumohon,kabur aja dulu mohon
kaburajadulusampai,kabur aja dulu sampai
kaburajadulusaya,kabur aja dulu saya
kaburajaduluya,kabur aja dulu ya
kaburajaduluvietnam,kabur aja dulu vietnam
kaburajagausahbalik,kabur aja gausah balik  
kaburajaselamanya,kabur aja selamanya
kaburajayuk,kabur aja yuk
kaburdisana,kabur disana
kaburduluaja,kabur dulu aja
kaburduluajanya,kabur dulu aja nya
kaburduluajaprabowosubianto,kabur dulu aja prabowo subianto
kaburduluan,kabur duluan
kaburgasngeng,kabur gas ngeeng  
kaburinduitdulu,kabur induit dulu  
kaburinvestorlg,kabur investor lg  
kaburkaburan,kabur-kaburan
kaburkejepang,kabur ke jepang
kaburkekorseldulu,kabur ke korsel dulu
kaburlagiaja,kabur lagi aja
kaburrrrrrrrrrrr,kabur
kabursajadulu,kabur saja dulu
kamibersamayuranfernandes,kami bersama yuran fernandes  
kampunghalaman,kampung halaman
kangenkampunghalaman,kangen kampung halaman
kanpekiseijo,kanpeki seijo  
kapabilitas,kapabilitas
kapitalisme,kapitalisme
karakternya,karakternya
karimunjawa,karimun jawa  
karirinternasional,karir internasional
karyaanakbangsa,karya anak bangsa
katakatamotivasi,kata-kata motivasi
katakatamutiara,kata-kata mutiara
kategorinya,kategorinya
kawankawanku,kawan-kawanku
kebahagiaan,kebahagiaan
kebangkitan,kebangkitan
kebanyakkan,kebanyakan  
kebenarannya,kebenarannya
keberangkatan,keberangkatan
keberaniannya,keberaniannya
keberengsekan,keberesan  
keberhasilan,keberhasilan
keberlanjutan,keberlanjutan
keberlimpahan,keberlimpahan
kebersihannya,kebersihannya
kebiadabanmu,kebiadabanmu
kebijakannn,kebijakannya  
kebijakannya,kebijakannya
kebutuhannya,kebutuhannya
kecewapilihprabowo,kecewa pilih prabowo
kedapetannn,kedapetan  
kediktatoran,kediktatoran
keeptalking,keep talking
kegelisahan,kegelisahan
kegemilangan,kegemilangan
kehadirannya,kehadirannya
kehidupannya,kehidupannya
keimigrasian,keimigrasian
kejadiannya,kejadiannya
kejahatannya,kejahatannya
kejahatansatuserver,kejahatan satu server
kekeluargaan,kekeluargaan
kekuarganya,keluarganya  
kekuranganya,kekurangannya  
kelahirannya,kelahirannya
kelakuannya,kelakuannya
kelangsungan,kelangsungan
kelemahanku,kelemahanku
kelihatannya,kelihatannya
kelistrikan,kelistrikan
kelompoknya,kelompoknya
keluarganya,keluarganya
keluarkeluar,keluar-keluar
keluarnegeriaja,keluar negeri aja
kemampuanmu,kemampuanmu
kemampuannya,kemampuannya
kemanaaaaaa,kemana
kemanaaaaaahhhhhhhhhhhh,kemana
kemandirian,kemandirian
kemanggisan,kemanggisan  
kemanusiaan,kemanusiaan
kemarinkemarin,kemarin-kemarin
kemariwkwkw,kemari wkwkw  
kembaliannya,kembaliannya
kemendikbud,kemendikbud
kementerian,kementerian
kementrianpendidikan,kementerian pendidikan  
kemerdekaan,kemerdekaan
kemerdekaannya,kemerdekaannya
kemungkinan,kemungkinan
kenasionalisme,kenasionalisme
kentuajadulu,kentua aja dulu  
kenyataannya,kenyataannya
kepaladaerah,kepala daerah
kepanitiaan,kepanitiaan
kepanjangan,kepanjangan
kepemimpinan,kepemimpinan
kepentingan,kepentingan
kepercayaan,kepercayaan
keprimitifan,keprimitifan
keputusasaan,keputusasaan
keraguankesedihankegagalan,keraguan kesedihan kegagalan
keranjingan,keranjingan
keributannya,keributannya
kerjaampminimnya,kerja amp minimnya  
kerjaanjadi,kerjaan jadi
kerjabelajar,kerja belajar
kerjadijepang,kerja di jepang
kerjadijerman,kerja di jerman
kerjadikanada,kerja dikanada  
kerjadiluarneger,kerja di luar negeri  
kerjadiluarnegeri,kerja di luar negeri
kerjajepang,kerja jepang
kerjakejepang,kerja ke jepang
kerjakuliahsekolah,kerja kuliah sekolah
kerjaluarnegeri,kerja luar negeri
kerjangejar,kerja ngejar
kesalamatan,keselamatan  
kesampaianjadi,kesampaian jadi
kesederhanaan,kesederhanaan
kesejahteraan,kesejahteraan
kesejahtrraan,kesejahteraan  
kesempatanmu,kesempatanmu
kesempatannya,kesempatannya
kesemrawutan,kesemrawutan
keseruannya,keseruannya
kesibukanku,kesibukanku
kesimpulannya,kesimpulannya
kesinisalah,kesini salah
kestrugglean,ke-struggle-an  # istilah slang
kesuksesannya,kesuksesannya
kesusksesan,kesuksesan  
ketangkeptangkep,ketang kep tangkep  
ketenagakerjaan,ketenagakerjaan
keterampilan,keterampilan
keterbatasan,keterbatasan
keterikatan,keterikatan
keterlaluan,keterlaluan
keterlibatan,keterlibatan
ketidakadilan,ketidakadilan
ketidakpastian,ketidakpastian
ketidakpercayaan,ketidakpercayaan
ketidakpuasan,ketidakpuasan
ketidakstabilan,ketidakstabilan
ketidakwarasan,ketidakwarasan
ketinggalan,ketinggalan
ketipuuuuuuuuuuuuuu,ketipu  
ketrampilan,keterampilan  
keturunannya,keturunannya
keuntungannya,keuntungannya
kewarasanku,kewarasanku
kewargakenegaraan,kewarganegaraan  
kewarganegaraan,kewarganegaraan
keyakinannya,keyakinannya
khawatirnya,khawatirnya
kiamatsudahdekat,kiamat sudah dekat
kingsharvard,kings harvard  
kkk,k
kkkk,k
klarifikasi,klarifikasi
klinissoalnya,klinis soalnya
kluivertout,kluivert out  
kodeundagan,kode undagan  
kolaborasiperkuatbangsa,kolaborasi perkuat bangsa
kolonialisme,kolonialisme
komikwebtoon,komik webtoon
komunikasiin,komunikasiin  
konohagakure,konoha gakure  
konsekuensi,konsekuensi
konservatif,konservatif
konstitusinya,konstitusinya
kontroversi,kontroversi
kontroversial,kontroversial
koreaselatan,korea selatan
korupsipertamina,korupsi pertamina
koruptornya,koruptornya
kosongkepentingan,kosong kepentingan
kpemimpinan,kepemimpinan  
kriminalisasi,kriminalisasi
kriterianya,kriterianya
krustycrepes,krusty crepes  
kualifikasinya,kualifikasinya
kuliahajadulu,kuliah aja dulu
kuliahdichina,kuliah di china
kuliahdihongkong,kuliah di hongkong
kuliahdiinggris,kuliah di inggris
kuliahdikorea,kuliah di korea
kuliahdiluar,kuliah di luar
kuliahdiluarnegeri,kuliah di luar negeri
kuliahindonesiagelap,kuliah indonesia gelap
kuliahluarnegeri,kuliah luar negeri
kurekomendasi,ku rekomendasi
kurikulumnya,kurikulumnya
kursusbahasainggris,kursus bahasa inggris
kursusbahasajepang,kursus bahasa jepang
kursusbahasakorea,kursus bahasa korea
lagakproduser,lagak produser
lainstrategi,lain strategi
lalalalilili,lalalalilili  # nyanyian
lancarkanlah,lancarkanlah
langkahlangkah,langkah-langkah
lanjutannya,lanjutannya
lapangannya,lapangannya
lawancaraculas,lawan cara culas
lazadapestagajian,lazada pest a gajian  
lebihbaikkabur,lebih baik kabur
lesbahasajepang,les bahasa jepang
liburandirumahaja,liburan di rumah aja
lifeafterpilpres,life after pilpres
like,suka
linemanxfayeperaya,line man x faye peraya  
lingkunganmu,lingkunganmu
lingkungannya,lingkungannya
linkgacorslot,link gacor slot
lisamariana,lisa mariana  
listriktelfon,listrik telpon  
literasinya,literasinya
lizzizuankabur,lizzi zuan kabur  
logikangawur,logika ngawur
logobukanidentitas,logo bukan identitas
lokerjepang,loker jepang
lokerterbaru,loker terbaru
lokerwithpiki,loker with piki  
love,cinta
lowongankerja,lowongan kerja
lowonganpekerjaan,lowongan pekerjaan
luminescence,luminesensi
magangapprenticeship,magang apprenticeship
magangjepang,magang jepang
mahasiswaberaksi,mahasiswa beraksi
mahasiswanya,mahasiswanya
makinkesinimakinkesono,makin kesini makin kesono
maklumudahgamuda,maklum udah gamuda  
malamminggu,malam minggu
mamatkopling,mamat kopling  
manajemenit,manajemen it
manchesterunited,manchester united
mandiribeasiswa,mandiri beasiswa
mandorizinmundur,mandor izin mundur  
manifestasi,manifestasi
manifesting,manifesting  
manipulating,memanipulasi
mantukmantuk,mantuk-mantuk  
marketplace,marketplace
masadepansuram,masa depan suram
masalahnyee,masalahnya  
masingmasing,masing-masing
masterbagasi,master bagasi
masukajadulu,masuk aja dulu
masyarakatnya,masyarakatnya
mataharinya,mataharinya
matamuehndasmu,matamu eh ndasmu  
matiajadulu,mati aja dulu
matidisiksa,mati disiksa
mauahuahauahau,mau ah uahauahau  
maukaburajadulu,mau kabur aja dulu
mautsementara,mau t sementara  
mayapadacurang,mayapada curang
mberotkaburduluaja,mberot kabur dulu aja  
mbginvestasimasadepan,mbg investasi masa depan  
mechatronica,mechatronica  
meetnitelive,meet nite live
meetnitelivemetrotv,meet nite live metro tv
megalodonnya,megalodonnya
melaksanakan,melaksanakan
melaksanakannya,melaksanakannya
melakukannya,melakukannya
melancarkan,melancarkan
melanjutkannya,melanjutkannya
melatarbelakangi,melatarbelakangi
melestarikan,melestarikan
melimpahnya,melimpahnya
meluncurkan,meluncurkan
memanfaatkan,memanfaatkan
memanifestasikan,memanifestasikan
memantapkan,memantapkan
memanusiakan,memanusiakan
memanusiakanmanusia,memanusiakan manusia
membahayakan,membahayakan
membalikkan,membalikkan
membanggakan,membanggakan
membayangkan,membayangkan
membayarnya,membayarnya
membebaskan,membebaskan
membenarkan,membenarkan
memberikansanjungankokpadapelakukorapdanperilakunya,memberikan sanjungan kok pada pelaku korap dan perilakunya  
memberitahu,memberitahu
memberitakan,memberitakan
memberontak,memberontak
membersamai,membersamai
membersihkan,membersihkan
membiasakan,membiasakan
membugarkandemokrasi,membugar kan demokrasi
membuktikan,membuktikan
membutuhkan,membutuhkan
memeindonesia,meme indonesia
memelndonesia,meme indonesia  
memerahraut,memerah raut
memerdekakan,memerdekakan
memeriahkan,memeriahkan
memfasilitasi,memfasilitasi
memindahkan,memindahkan
mempedulikan,mempedulikan
mempelajari,mempelajari
mempengaruhi,mempengaruhi
memperbaiki,memperbaiki
memperbesar,memperbesar
mempercepat,mempercepat
memperebutkan,memperebutkan
memperkenalkan,memperkenalkan
memperkerjakan,memperkerjakan
memperkuatnya,memperkuatnya
memperlihatkan,memperlihatkan
mempermudah,mempermudah
memperpanjang,memperpanjang
mempersiapkan,mempersiapkan
mempersilahkan,mempersilakan
mempersulit,mempersulit
mempertahankan,mempertahankan
mempertanyakan,mempertanyakan
mempertimbangkan,mempertimbangkan
mempopulerkannya,mempopulerkannya
mempraktekkan,mempraktikkan
mempraktikkan,mempraktikkan
memprediksi,memprediksi
memprioritaskan,memprioritaskan
memunculkan,memunculkan
memungkinkan,memungkinkan
memvalidasi,memvalidasi
menagihjanjikampanye,menagih janji kampanye
menaklukkannya,menaklukkannya
menakutnakuti,menakut-nakuti
menanggulangi,menanggulangi
menangterus,menang terus
mencakmencak,mencak-mencak
mencekamnya,mencekamnya
mencerdaskan,mencerdaskan
menceritakan,menceritakan
menciptakan,menciptakan
mencontohkan,mencontohkan
mendahulukan,mendahulukan
mendapatkan,mendapatkan
mendatangkan,mendatangkan
mendekatkan,mendekatkan
mendengarkan,mendengarkan
mendikdasmen,mendikdasmen
mendukungnya,mendukungnya
menenangkan,menenangkan
menengahatas,menengah atas
menentunegara,menentunegara  
menerimakabahar,menerima kabahar  
menertawakan,menertawakan
mengabaikan,mengabaikan
mengabdilah,mengabdilah
mengagendakan,mengagendakan
mengajarkan,mengajarkan
mengalahkan,mengalahkan
mengalihkan,mengalihkan
mengamalkan,mengamalkan
mengampanyekan,mengampanyekan
mengantarkan,mengantarkan
mengapaakuwni,mengapa aku wni  
mengaplikasikan,mengaplikasikan
mengapresiasi,mengapresiasi
mengasingkan,mengasingkan
